1: 消极百分比66.51% 积极百分比33.49%
384: 消极百分比99.65% 积极百分比0.35%
385: 消极百分比8.4% 积极百分比91.6%
386: 消极百分比100.0% 积极百分比0.0%
387: 消极百分比99.57% 积极百分比0.43%
388: 消极百分比100.0% 积极百分比0.0%
389: 消极百分比41.7% 积极百分比58.3%
390: 消极百分比87.32% 积极百分比12.68%
391: 消极百分比100.0% 积极百分比0.0%
392: 消极百分比89.53% 积极百分比10.47%
393: 消极百分比99.9% 积极百分比0.1%
394: 消极百分比99.61% 积极百分比0.39%
395: 消极百分比45.28% 积极百分比54.72%
396: 消极百分比89.03% 积极百分比10.97%
397: 消极百分比83.37% 积极百分比16.63%
398: 消极百分比60.48% 积极百分比39.52%
399: 消极百分比13.35% 积极百分比86.65%
400: 消极百分比99.99% 积极百分比0.01%
401: 消极百分比100.0% 积极百分比0.0%
402: 消极百分比3.01% 积极百分比96.99%
403: 消极百分比20.69% 积极百分比79.31%
404: 消极百分比46.93% 积极百分比53.07%
405: 消极百分比99.51% 积极百分比0.49%
406: 消极百分比93.54% 积极百分比6.46%
407: 消极百分比99.99% 积极百分比0.01%
408: 消极百分比89.66% 积极百分比10.34%
409: 消极百分比37.95% 积极百分比62.05%
410: 消极百分比97.47% 积极百分比2.53%
411: 消极百分比99.96% 积极百分比0.04%
412: 消极百分比100.0% 积极百分比0.0%
413: 消极百分比99.15% 积极百分比0.85%
414: 消极百分比100.0% 积极百分比0.0%
415: 消极百分比0.0% 积极百分比100.0%
416: 消极百分比3.02% 积极百分比96.98%
417: 消极百分比88.14% 积极百分比11.86%
418: 消极百分比100.0% 积极百分比0.0%
419: 消极百分比100.0% 积极百分比0.0%
420: 消极百分比2.99% 积极百分比97.01%
421: 消极百分比43.9% 积极百分比56.1%
422: 消极百分比98.57% 积极百分比1.43%
423: 消极百分比12.18% 积极百分比87.82%
424: 消极百分比100.0% 积极百分比0.0%
425: 消极百分比99.36% 积极百分比0.64%
426: 消极百分比0.25% 积极百分比99.75%
427: 消极百分比97.76% 积极百分比2.24%
428: 消极百分比95.84% 积极百分比4.16%
429: 消极百分比100.0% 积极百分比0.0%
430: 消极百分比99.09% 积极百分比0.91%
431: 消极百分比99.6% 积极百分比0.4%
432: 消极百分比100.0% 积极百分比0.0%
433: 消极百分比100.0% 积极百分比0.0%
434: 消极百分比10.83% 积极百分比89.17%
435: 消极百分比100.0% 积极百分比0.0%
436: 消极百分比0.48% 积极百分比99.52%
437: 消极百分比100.0% 积极百分比0.0%
438: 消极百分比99.49% 积极百分比0.51%
439: 消极百分比94.07% 积极百分比5.93%
440: 消极百分比14.34% 积极百分比85.66%
441: 消极百分比29.62% 积极百分比70.38%
442: 消极百分比99.98% 积极百分比0.02%
443: 消极百分比50.0% 积极百分比50.0%
444: 消极百分比97.5% 积极百分比2.5%
445: 消极百分比47.09% 积极百分比52.91%
446: 消极百分比99.97% 积极百分比0.03%
447: 消极百分比64.25% 积极百分比35.75%
448: 消极百分比90.43% 积极百分比9.57%
449: 消极百分比99.05% 积极百分比0.95%
450: 消极百分比27.08% 积极百分比72.92%
451: 消极百分比99.3% 积极百分比0.7%
452: 消极百分比100.0% 积极百分比0.0%
453: 消极百分比0.0% 积极百分比100.0%
454: 消极百分比99.76% 积极百分比0.24%
455: 消极百分比98.2% 积极百分比1.8%
456: 消极百分比98.94% 积极百分比1.06%
457: 消极百分比97.41% 积极百分比2.59%
458: 消极百分比69.56% 积极百分比30.44%
459: 消极百分比91.33% 积极百分比8.67%
460: 消极百分比100.0% 积极百分比0.0%
461: 消极百分比23.92% 积极百分比76.08%
462: 消极百分比99.98% 积极百分比0.02%
463: 消极百分比99.58% 积极百分比0.42%
464: 消极百分比51.39% 积极百分比48.61%
465: 消极百分比5.65% 积极百分比94.35%
466: 消极百分比66.3% 积极百分比33.7%
467: 消极百分比93.33% 积极百分比6.67%
468: 消极百分比17.11% 积极百分比82.89%
469: 消极百分比9.77% 积极百分比90.23%
470: 消极百分比78.96% 积极百分比21.04%
471: 消极百分比99.57% 积极百分比0.43%
472: 消极百分比95.04% 积极百分比4.96%
473: 消极百分比7.15% 积极百分比92.85%
474: 消极百分比100.0% 积极百分比0.0%
475: 消极百分比99.33% 积极百分比0.67%
476: 消极百分比13.68% 积极百分比86.32%
477: 消极百分比99.96% 积极百分比0.04%
478: 消极百分比100.0% 积极百分比0.0%
479: 消极百分比100.0% 积极百分比0.0%
480: 消极百分比99.88% 积极百分比0.12%
481: 消极百分比100.0% 积极百分比0.0%
482: 消极百分比9.01% 积极百分比90.99%
483: 消极百分比69.97% 积极百分比30.03%
484: 消极百分比99.96% 积极百分比0.04%
485: 消极百分比99.11% 积极百分比0.89%
486: 消极百分比99.94% 积极百分比0.06%
487: 消极百分比58.41% 积极百分比41.59%
488: 消极百分比0.24% 积极百分比99.76%
489: 消极百分比98.42% 积极百分比1.58%
490: 消极百分比0.0% 积极百分比100.0%
491: 消极百分比99.89% 积极百分比0.11%
492: 消极百分比22.77% 积极百分比77.23%
493: 消极百分比65.31% 积极百分比34.69%
494: 消极百分比100.0% 积极百分比0.0%
495: 消极百分比100.0% 积极百分比0.0%
496: 消极百分比58.97% 积极百分比41.03%
497: 消极百分比1.95% 积极百分比98.05%
498: 消极百分比44.76% 积极百分比55.24%
499: 消极百分比100.0% 积极百分比0.0%
500: 消极百分比99.3% 积极百分比0.7%
501: 消极百分比31.23% 积极百分比68.77%
502: 消极百分比3.09% 积极百分比96.91%
503: 消极百分比2.43% 积极百分比97.57%
504: 消极百分比96.41% 积极百分比3.59%
505: 消极百分比44.42% 积极百分比55.58%
506: 消极百分比0.05% 积极百分比99.95%
507: 消极百分比99.35% 积极百分比0.65%
508: 消极百分比12.18% 积极百分比87.82%
509: 消极百分比98.79% 积极百分比1.21%
510: 消极百分比100.0% 积极百分比0.0%
511: 消极百分比12.63% 积极百分比87.37%
512: 消极百分比98.89% 积极百分比1.11%
513: 消极百分比27.81% 积极百分比72.19%
514: 消极百分比14.47% 积极百分比85.53%
515: 消极百分比76.68% 积极百分比23.32%
516: 消极百分比99.94% 积极百分比0.06%
517: 消极百分比100.0% 积极百分比0.0%
518: 消极百分比94.61% 积极百分比5.39%
519: 消极百分比100.0% 积极百分比0.0%
520: 消极百分比9.9% 积极百分比90.1%
521: 消极百分比99.72% 积极百分比0.28%
522: 消极百分比97.52% 积极百分比2.48%
523: 消极百分比99.95% 积极百分比0.05%
524: 消极百分比71.47% 积极百分比28.53%
525: 消极百分比75.46% 积极百分比24.54%
526: 消极百分比97.82% 积极百分比2.18%
527: 消极百分比45.66% 积极百分比54.34%
528: 消极百分比99.95% 积极百分比0.05%
529: 消极百分比89.63% 积极百分比10.37%
530: 消极百分比66.99% 积极百分比33.01%
531: 消极百分比0.0% 积极百分比100.0%
532: 消极百分比100.0% 积极百分比0.0%
533: 消极百分比100.0% 积极百分比0.0%
534: 消极百分比95.63% 积极百分比4.37%
535: 消极百分比81.74% 积极百分比18.26%
536: 消极百分比3.45% 积极百分比96.55%
537: 消极百分比99.76% 积极百分比0.24%
538: 消极百分比12.18% 积极百分比87.82%
539: 消极百分比100.0% 积极百分比0.0%
540: 消极百分比99.86% 积极百分比0.14%
541: 消极百分比3.78% 积极百分比96.22%
542: 消极百分比100.0% 积极百分比0.0%
543: 消极百分比0.15% 积极百分比99.85%
544: 消极百分比97.77% 积极百分比2.23%
545: 消极百分比96.75% 积极百分比3.25%
546: 消极百分比31.61% 积极百分比68.39%
547: 消极百分比13.65% 积极百分比86.35%
548: 消极百分比99.93% 积极百分比0.07%
549: 消极百分比98.74% 积极百分比1.26%
550: 消极百分比91.4% 积极百分比8.6%
551: 消极百分比100.0% 积极百分比0.0%
552: 消极百分比21.83% 积极百分比78.17%
553: 消极百分比100.0% 积极百分比0.0%
554: 消极百分比100.0% 积极百分比0.0%
555: 消极百分比76.52% 积极百分比23.48%
556: 消极百分比100.0% 积极百分比0.0%
557: 消极百分比81.47% 积极百分比18.53%
558: 消极百分比100.0% 积极百分比0.0%
559: 消极百分比100.0% 积极百分比0.0%
560: 消极百分比95.76% 积极百分比4.24%
561: 消极百分比8.08% 积极百分比91.92%
562: 消极百分比100.0% 积极百分比0.0%
563: 消极百分比100.0% 积极百分比0.0%
564: 消极百分比98.99% 积极百分比1.01%
565: 消极百分比100.0% 积极百分比0.0%
566: 消极百分比96.85% 积极百分比3.15%
567: 消极百分比87.29% 积极百分比12.71%
568: 消极百分比20.67% 积极百分比79.33%
569: 消极百分比100.0% 积极百分比0.0%
570: 消极百分比25.48% 积极百分比74.52%
571: 消极百分比97.41% 积极百分比2.59%
572: 消极百分比99.63% 积极百分比0.37%
573: 消极百分比91.4% 积极百分比8.6%
574: 消极百分比100.0% 积极百分比0.0%
575: 消极百分比37.25% 积极百分比62.75%
576: 消极百分比6.09% 积极百分比93.91%
577: 消极百分比36.76% 积极百分比63.24%
578: 消极百分比10.71% 积极百分比89.29%
579: 消极百分比100.0% 积极百分比0.0%
580: 消极百分比1.66% 积极百分比98.34%
581: 消极百分比0.23% 积极百分比99.77%
582: 消极百分比90.11% 积极百分比9.89%
583: 消极百分比99.84% 积极百分比0.16%
584: 消极百分比0.28% 积极百分比99.72%
585: 消极百分比98.1% 积极百分比1.9%
586: 消极百分比93.4% 积极百分比6.6%
587: 消极百分比99.99% 积极百分比0.01%
588: 消极百分比100.0% 积极百分比0.0%
589: 消极百分比81.08% 积极百分比18.92%
590: 消极百分比85.29% 积极百分比14.71%
591: 消极百分比30.28% 积极百分比69.72%
592: 消极百分比100.0% 积极百分比0.0%
593: 消极百分比15.85% 积极百分比84.15%
594: 消极百分比0.0% 积极百分比100.0%
595: 消极百分比93.41% 积极百分比6.59%
596: 消极百分比0.01% 积极百分比99.99%
597: 消极百分比4.27% 积极百分比95.73%
598: 消极百分比37.47% 积极百分比62.53%
599: 消极百分比18.17% 积极百分比81.83%
600: 消极百分比12.55% 积极百分比87.45%
601: 消极百分比15.97% 积极百分比84.03%
602: 消极百分比19.46% 积极百分比80.54%
603: 消极百分比100.0% 积极百分比0.0%
604: 消极百分比99.85% 积极百分比0.15%
605: 消极百分比100.0% 积极百分比0.0%
606: 消极百分比99.81% 积极百分比0.19%
607: 消极百分比93.5% 积极百分比6.5%
